ID,月,"発生
時間",災害状況,業種(大分類)コード,業種(大分類),業種(中分類)コード,業種(中分類),業種(小分類)コード,業種(小分類),事故の型
508,6,12～13,揚炭機（アンローダー）機内コンベヤのプーリーとベルトの間に頭部等を巻き込まれ死亡した。一人作業であり、災害発生状況を見た者はいないが、コンベヤ清掃用具が一緒に巻き込まれていたことから、コンベヤの清掃作業中に巻き込まれた可能性がある。 ,5,貨物取扱業,502,港湾運送業,50202,港湾荷役業,はさまれ、巻き込まれ
509,6,8～9,被災者は、バスタオル等洗濯物を脚立の２段目（高さ４６．５ｃｍ、踏み面奥行２０ｃｍ、幅３０ｃｍ）に上り脱衣室内のポール（高さ２１５ｃｍ）にバスタオルを掛け、踏み面上で体の向きを変えようとしたところ、バランスを崩して墜落し、臀部を強打した。被災者は、整形外科を受診後、帰宅したが具合が悪くなったため、総合病院で受診したところ、Ｓ状結腸穿孔と診断され手術を受けたが、翌日死亡した。 ,13,保健衛生業,1302,社会福祉施設,130201,社会福祉施設,墜落、転落
510,6,6～7,民有林の伐木作業及び集材作業を行っていた際に、被災者の使用するチェーンソーの音が聞こえてこなかったため、離れた場所で集材作業を行っていた代表取締役が被災者の作業場所へ様子を見に近づいたところ、伐倒木（樹高約２６メートル、胸高直径約２７センチメートルの杉の木）の下敷きとなり、意識のない被災者を発見した。伐根には、くさび２本を使用した形跡が残されており、つるが残っている状態であった。 ,6,農林業,602,林業,60209,その他の林業,激突され
511,6,2～3,被災者は１２トントラックにて運行中、乗用車との接触事故を発生させ、その後、トラックを下り高速道路上にて、事故の相手方の怪我の有無の確認、二次災害防止措置を行っていたところ、後続より走行してきた１４ｔトラックにはねられ死亡した。 ,4,運輸交通業,403,道路貨物運送業,40301,一般貨物自動車運送業,交通事故（道路）
512,6,8～9,路上で割腹自殺をした。,8,商業,802,小売業,80209,その他の小売業,その他
513,6,4～5,乗務前の点呼後に，車内の煙草の吸い殻を捨てようと貨物自動車の運転席から降り，事務所前の吸い殻入れに向かって歩いていたところ，サイドブレーキを降ろしたままの状態であったため当該車両が動き出し，これを止めようとして車両の前に回り込んだところを当該車両に轢かれた。 ,4,運輸交通業,403,道路貨物運送業,40301,一般貨物自動車運送業,はさまれ、巻き込まれ
514,6,14～15,被災者は車庫内に駐車していたスクールバスのエンジンを始動させ、暖気運転したまま、降車したところ、無人のバスが逸走したため、制止させるためにバス前方ある「ドア開閉スイッチ」を操作しようとした際に同バスに轢かれた。,17,その他の事業,1702,その他の事業,170209,その他の事業－その他,はさまれ、巻き込まれ
515,6,4～5,宿泊先のホテルから出張先の工場へ機械の納入のために社用車で向かっていたところ、信号のある交差点を直進していた時に左から走行してきた大型トラックと衝突した。被災者は助手席に乗車しており、全身を打撲し死亡した。 ,1,製造業,113,機械器具製造業,11301,機械（精密機械を除く）器具製造業,交通事故（道路）
516,6,10～11,荷の搬送先において、トラックから荷卸し作業を行っていたところ、胸の痛みを訴えたため、病院に救急搬送されたが、心タンポナーデにより死亡した。発症前５か月間の時間外労働時間は、平均８４時間２８分であった。 ,4,運輸交通業,403,道路貨物運送業,40301,一般貨物自動車運送業,その他
517,6,16～17,検査員の法定講習終了後、社用車にて帰社途中、高速道路ＩＣのゲートを通過後、交差点の５０ｍ手前（７～８台目）で信号機停車したところ、１分足らずで後部より追突され、前方の３ｔトラックに追突した。 ,12,教育・研究業,1201,教育・研究業,120101,自動車教習所,交通事故（道路）
518,6,16～17,被災者は、現場作業を終え社有車（ワゴン車）を運転し帰社する途中、遮断機と警報器の無い踏切で、普通列車（１両編成）と衝突し、約２０ｍ引きずられ、鉄橋から約８ｍ下の川に転落した。 ,3,建設業,303,その他の建設業,30309,その他の建設業－その他,交通事故（道路）
519,6,12～13,高速道路舗装工事現場で、橋梁ジョイント部保護のため、トラッククレーンで鉄板（３．０ｍ×１．５ｍ×２５ｍｍ、重量９００ｋｇ）を敷設したところ、接地面が安定しなかったため、再度、同クレーンにて鉄板端部１箇所に玉掛用具のフックを掛け、鉄板の片側を約６０ｃｍ引き上げて、他の作業者が接地面の砂利をならしていた。被災者が接地面をのぞき込んだところ、玉掛用具のフックが外れ、落下した鉄板の下敷きになった。 ,3,建設業,301,土木工事業,30106,道路建設工事業,飛来、落下
520,6,10～11,再生砕石である路盤材の置き場において、路盤材に混入している異物を除去する作業を行っていた被災者が、後進してきたトラクター・ショベル（機体重量３トン以上、バケット容量３ｍ３）の右後方タイヤに轢かれた。 ,15,清掃・と畜業,1501,清掃・と畜業,150102,産業廃棄物処理業,はさまれ、巻き込まれ
521,6,8～9,被災者が、ベルトコンベア稼働中にスクレーパーを使用してプーリーに付着したカスの除去作業を行っていたところ、ベルトとプーリーの間に巻き込まれた。 ,1,製造業,111,非鉄金属製造業,11101,非鉄金属精錬・圧延業,はさまれ、巻き込まれ
522,6,8～9,トラックに荷物を積み込み、国道下り線を走行中、被災者の運転するトラックがガードレールに激突した後、７メートル下の山林に転落した。災害発生現場は緩やかなカーブの下り坂が続く場所であった。 ,4,運輸交通業,403,道路貨物運送業,40301,一般貨物自動車運送業,交通事故（道路）
523,6,8～9,木材（おもにヒノキ）の伐出作業に際し、伐採者からは、被災者の位置が確認できなかったが、合図等をしないまま、退避を確認せずに伐採したため、近くで枝打ち、玉切り作業を行っていた被災者に直撃した。,6,農林業,602,林業,60201,木材伐出業,激突され
524,6,18～19,自宅近くの遊技場にいたところ胸が苦しくなり倒れ、救急搬送され急性心筋梗塞との診断により入院加療していたが、後日死亡した。 ,1,製造業,115,輸送用機械等製造業,11502,自動車・同付属品製造業,その他
525,6,14～15,被災者が大型トラックにて国道を走行中、センターラインを超えた対向車が走行車線に復するべくハンドルを切ったところ、勢い余って対向車線側の側壁に接触し、その弾みで再び車両がセンターラインを超えて大型トラックに衝突した。衝突された大型トラックはセンターラインを超えて対向車線側の側壁に激突した。 ,4,運輸交通業,403,道路貨物運送業,40301,一般貨物自動車運送業,交通事故（道路）
526,6,10～11,出張先の外国において、得意先との食事会の後、宿泊しているホテルに戻り、ホテルの窓から墜落し、死亡した。 ,8,商業,801,卸売業,80109,その他の卸売業,墜落、転落
527,6,16～17,ほ場整備に関連する区画整理及びその付帯工事において、高さ約２メートルの仮置き土砂の山の斜面で、不整地運搬車に搭載した掘削土砂を排土していたところ、不整地運搬車が傾き浮き上がりそうになった。身の危険を感じた被災者は運転席から離れようとした際につまずき、地面へ墜落した。,3,建設業,301,土木工事業,30109,土地整理土木工事業,墜落、転落
528,6,16～17,被災者が高さ約２０ｍの立木をチェーンソーで伐倒したところ、被災者の後ろから高さ約２０ｍの立木が倒れてきて頭部に激突し死亡した。 ,6,農林業,602,林業,60201,木材伐出業,激突され
529,6,22～23,同僚と２人で製品のワイヤロープに張力をかけて初期伸びをとる機械の操作をしていた。ロープをサプライドラムから送り出し、緊張側のチャックでつかみ、さらに約２４０ｍ離れた固定側チャックでロープ先端部をつかんで段階的に張力をかけていたが、２０ｔから２７ｔに張力を上げていたときに緊張側のチャックでロープが滑ったため、サプライドラムと緊張側チャック間のロープが跳ね上がり、近くにいた被災者に激突した。 ,1,製造業,112,金属製品製造業,11209,その他の金属製品製造業,激突され
530,6,16～17,既設建屋の外壁塗装作業に従事していた下請業者の被災者が、建屋１Ｆピロティの開口部より、深さ約３．７ｍの地下ピットに貯留していた深さ約２．７ｍの水面に墜落し、溺死した。,3,建設業,302,建築工事業,30209,その他の建築工事業,おぼれ
531,6,12～13,被災者とオペレーターの２名で高所作業車を使用し、ホテル南面の外壁の修繕をしていたところ、搬器の底部が外壁と接触して動かなくなった。そのため、被災者が搬器の外に出て接触箇所を確認しようとしたところ、バランスを崩し約２０メートルの高さから墜落した。　 ,3,建設業,302,建築工事業,30209,その他の建築工事業,墜落、転落
532,6,10～11,被災者が、屋根改修工事現場において、２階の屋根の端にある破風板の取替え作業を行っていたところ、地上から高さ３５１ｃｍにある足場２段目の作業床から地上に墜落し、死亡した。 ,3,建設業,302,建築工事業,30202,木造家屋建築工事業,墜落、転落
533,6,8～9,自社が元請で作業を行うため自社の作業者が乗車した社用車が、市内の建設現場に向かう途中、高速道路ポスト先の路上で前方左から合流してきた準中型貨物自動車と接触し、乗車していた車両が横転。横転した車内で頭部を強打した。 ,3,建設業,301,土木工事業,30109,土地整理土木工事業,交通事故（道路）
534,6,16～17,被災者は、事業主と２人で１４時頃から、個人所有の雑木林の傾斜地で偏心木の伐木作業に従事していた。当該木は傾斜地にあり、被災者がチェーンソーで受け口を切り、次に追い口を切っていたところ、途中で木が倒れた。その際、倒れた木の根本部分が裂けて残り、それ以外の木の部分が被災者の背中に当たり下敷きとなった。 ,2,鉱業,202,土石採取業,20209,その他の土石採取業,激突され
535,6,14～15,仮工事用道路建設に伴う準備工として、山林の伐採・搬出作業を行っていた際、法面に設けた作業道でグラップルを用いて伐木後の枝葉の集積作業を行っていたところ、クローラー下部の作業道路肩が崩壊したことにより、グラップルに搭乗したまま約１０ｍ下まで滑落し、運転席から投げ出された状態で倒れている被災者が発見された。 ,3,建設業,301,土木工事業,30102,トンネル建設工事業,墜落、転落
536,6,4～5,被災者は当日午前３時５０分に点呼を受け、コイルを運搬するためトレーラーで事業場を出発した。午前５時頃、走行中、交差する市道を走っていたワゴン車と出合い頭に衝突し、トレーラーは横転した。この事故でトレーラーを運転していた被災者は全身を強く打ち死亡した。 ,4,運輸交通業,403,道路貨物運送業,40301,一般貨物自動車運送業,交通事故（道路）
537,6,14～15,小型オートバイ（１２５ｃｃ、被災者所有）で、休憩していたスーパーマーケット脇の路上から約１００ｍ離れた小学校近くの担当の警備現場まで移動中だった被災者が、反対側の歩道に渡ろうとして車道に出てきた歩行者（非労働者）と接触しそうになり避けようとした際に転倒し、脳挫傷、頭蓋骨骨折、肋骨骨折等を負った。歩行者も転倒し、顔面及び右腕を打撲した。 ,17,その他の事業,1702,その他の事業,170201,警備業,交通事故（道路）
538,6,10～11,被災者は、火災によりクラブホール天井に付着したすすの除去作業の仕上げとして、当該箇所に脱臭用の薬剤を噴霧するため、作業足場（全１２層）の９層目（高さ約１４ｍ）で作業していたが、その後、被災者が作業していた方向から何かが落ちる音が聞こえ、現場監督が駆けつけたところ、被災者が１階床で倒れているところが発見された。発見時に被災者は安全帯を着用していたが、不使用だった。,3,建設業,303,その他の建設業,30309,その他の建設業－その他,墜落、転落
539,6,10～11,集塵ダクトの解体工事において、地上に置かれた廃棄ダクト（長さ：６．３メートル、幅：１．９メートル、重量：１１トン、形状：Ｊ型）を金属板とモルタルに分離し細断化するため被災者２名（溶断者、補助者）が、ガス溶断作業に従事していたところ、突然ダクトの折れ曲がった部分が裂け崩れ、この一部（長さ約３ｍ、重量約２トン）が被災者２名の上に倒れたことから、溶断者は死亡、補助者は足を負傷した。 ,3,建設業,302,建築工事業,30209,その他の建築工事業,激突され
540,6,0～1,構内にある重油直接脱硫装置の触媒の交換工事現場で、被災者は同僚１名とともに反応器内に入り廃触媒の排出作業に従事していた。被災者はバキュームホースによる吸い出し作業を行い、同僚はエアーピックで固まった触媒をほぐす作業を行っていたところ、しゃがんだ姿勢で作業を行っていた被災者が触媒の塊の下敷きとなった。 ,3,建設業,303,その他の建設業,30302,機械器具設置工事業,崩壊、倒壊
541,6,10～11,川床から高さ約３．５ｍまで勾配６５度（護岸下部）、その上から高さ約２．７ｍの最上部まで勾配３５度（護岸上部）に整形された河川の護岸工事で、護岸上部に芝を張る作業に従事していた被災者が、傾斜地での足掛かりとするための設備を設置しようとしていたところ川床まで墜落した。 ,3,建設業,301,土木工事業,30107,河川土木工事業,墜落、転落
542,6,10～11,免震用の仮設Ｈ鋼材（長さ５メートル、重さ約１．７５トン）の取り外し作業のため手動のチェーンブロック２個を使用して吊り上げていた。被災者は一旦退避していたのが確認されているが、何らかの要因で仮設ブレースの搖動があり、手動のチェーンブロックのアンカー部分に衝撃力が加わり落下した際に被災者側に仮設プレースが搖動したと推定される。 ,3,建設業,302,建築工事業,30201,鉄骨・鉄筋コンクリート造家屋建築工事業,飛来、落下
543,6,8～9,トレーラーのシャーシに積載されたコンテナ（幅約２．３ｍ、長さ約１２ｍ、高さ約２．７ｍ）内から梱包された輸入製材（幅約１．１ｍ、長さ約３．８ｍ、高さ２．４ｍ、重さ約４．８ｔ）を、フォークリフトで荷卸しする作業中に、コンテナの後方に設置した作業台（幅約２．６ｍ、長さ約９．２ｍ、高さ約１．３ｍ）上からフォークリフトが転落し、当該フォークリフトを運転していた被災者がその下敷きになり被災した。 ,8,商業,804,その他の商業,80401,倉庫業,墜落、転落
544,6,12～13,被災者は配達作業に従事していたところ、国道において、渋滞停止中のトラックに追突し、救急搬送されたが、死亡が確認された。,8,商業,801,卸売業,80109,その他の卸売業,交通事故（道路）
545,6,8～9,被災者は居住用マンション（ＲＣ１３階）の外壁（タイル）補修工事を行う予定で、５階屋上に設置されてあったゴンドラに乗り込もうと、高さ１２０センチメートルの手すりを乗り越えようと、パラペットに足を掛けて手すりを乗り越えようとしたところ、バランスを崩し高さ約１３メートルから誤って墜落した。　 ,3,建設業,302,建築工事業,30201,鉄骨・鉄筋コンクリート造家屋建築工事業,墜落、転落
546,6,16～17,製紙工場の抄紙機のプレスローラー及びベルトコンベヤーの５か所のベアリング（直径１５ｃｍ幅１ｃｍ）の交換作業において、ベアリング交換作業を終えたが、取り外したコンベアーシャフトを戻す際にベルトコンベヤーのベルトがねじれていたため、粉砕機の中に立ってベルトを直していたところ、被災者の頭上のコンベヤー端部に設置された粉砕機の起動用リミットスイッチに触れたため粉砕機が動き出し足から全身を巻き込まれた。 ,1,製造業,117,その他の製造業,11702,機械修理業,はさまれ、巻き込まれ
547,6,12～13,国道の走行の妨げとなる立木（胸高直径４５ｃｍ）の伐採作業のため、被災者は立木に脚立はしごを立て掛け登りチェーンソーで切り込みを入れ、道路路肩のり面下で待機していた作業員２名に控えロープを引っ張るよう合図し立木を倒した。作業員２名がのり面を上がって行ったところ、倒木付近に頭から血を流しうつ伏せの状態で倒れている被災者を発見し、搬送先で死亡が確認された。 ,3,建設業,301,土木工事業,30199,その他の土木工事業,墜落、転落
548,6,10～11,被災者は、フォークリフトで魚のアラを岸壁沿いにあるゴミ捨て場へ運んでいたところ、フォークリフトごとコンクリートの岸壁から２．７５メートル下の海底に転落し、フォークリフトと海底に挟まれ死亡した。 ,7,畜産・水産業,702,水産業,70209,その他の水産業,墜落、転落
549,6,8～9,県道の歩道設置工事現場において、地山の掘削後における大型ブロック積擁壁工の現場打ちコンクリート部の施工に際し、積み上げた大型ブロックの裏側（山側）へ被災者が立ち入った際に、当該ブロックが山側に倒壊したため被災者が地山とブロックの間に挟まれ圧迫された。倒壊した大型ブロックの重量は約４ｔであった。 ,3,建設業,301,土木工事業,30106,道路建設工事業,崩壊、倒壊
550,6,0～1,最大積載量１３．９トンの貨物自動車で走行中、事故のため停車していた別事業場の貨物自動車に追突し、被災した。被災者が運転する貨物自動車は、約５トンの雑貨等を積載して配送中であり、ブレーキをかける様子もなく、追突した。 ,4,運輸交通業,403,道路貨物運送業,40301,一般貨物自動車運送業,交通事故（道路）
551,6,0～1,下り車線の走行において、インターの降り口のカーブに差し掛かったところ、曲がりきれず横転した。 ,4,運輸交通業,403,道路貨物運送業,40301,一般貨物自動車運送業,交通事故（道路）
552,6,8～9,飼料バラ出荷場において、天井に仮付された安全柵の本溶接を行うため、被災者含めて３名が、各人それぞれ高所作業車に乗って３箇所に分かれて作業を行っていた。作業者Ａが作業の途中、横のエリアを担当していた被災者に作業を行っている様子が無かったため、不審に思って近づいたところ、安全柵と高所作業車のバケットの間に挟まれている被災者を発見、心肺停止で病院に搬送されたが、同日死亡した。 ,3,建設業,303,その他の建設業,30309,その他の建設業－その他,はさまれ、巻き込まれ
553,6,14～15,被災者は、小型飛行機（機体は当該事業場が所有）に、教官（アドバイザー）兼コパイロットとして搭乗していた。同飛行機には、被災者、操縦者（非労働者）、ほか２名（非労働者）の計４名が乗っていた。災害発生日、同飛行機がA空港からB空港まで飛行した後、B空港を離陸してA空港まで戻る際に、山中に墜落した。翌日、４名の死亡が確認された。 ,4,運輸交通業,401,鉄道・軌道・水運・航空業,40103,航空業,交通事故（その他）
554,6,12～13,製造した機械のメンテナンス（部品交換）のため同僚と２名で２日間の出張作業中、調整中の機械装置に頭部を挟まれ、同日１４時４７分頭部外傷により搬送先の病院で死亡した。 ,1,製造業,113,機械器具製造業,11301,機械（精密機械を除く）器具製造業,はさまれ、巻き込まれ
555,6,12～13,既設機械式立体駐車場の定期点検作業中、被災者が車両昇降装置のフレームに搭乗した状態での上昇中、フレームと躯体内壁の鉄骨との間に頭部を挟まれた。その結果、被災者の頭部が切断し、約７．９ｍ下のピットまで胴体とともに落下した。,17,その他の事業,1702,その他の事業,170209,その他の事業－その他,はさまれ、巻き込まれ
556,6,10～11,被災者が高さ約４０ｍの電線上で電線の移設作業を行っていたところ、何らかの理由で固定していた電線が外れ、電線とともに地上へ墜落し死亡した。なお被災者は安全帯及びヘルメットを着用し、また安全帯を使用していた。　 ,3,建設業,303,その他の建設業,30301,電気通信工事業,墜落、転落
557,5,14～15,橋形クレーンによる荷下ろし作業後，被災者が吊り荷であるＨ形鋼から玉掛け用具（つりクランプ）を外し，同僚労働者がクレーンを操作してフックを巻上げたところ，Ｈ形鋼になんらかの外力が加わり，Ｈ形鋼が被災者の方に倒れ被災者胸部に激突した。その後搬送先の病院で死亡した。 ,1,製造業,112,金属製品製造業,11209,その他の金属製品製造業,崩壊、倒壊
558,5,10～11,空の４０ｆｔコンテナ（重量３．８４ｔ）をスプレッダー仕様のフォークリフトにて積載し、３ｍ程度まで上げてバックしたところ、突然緊結保持していた左右のスプレッダーの突起部がコンテナから続けて外れ、コンテナが落下した際、付近を通行していた被災者が下敷きになった。 ,5,貨物取扱業,502,港湾運送業,50202,港湾荷役業,飛来、落下
559,5,14～15,荷主先にて、被災者と代表取締役の２名により、構内に設置された天井クレーン（定格過重４．８ｔ）を使用して、鉄骨をトラック（最大積載量１９．８ｔ）に積載したのち、被災者は荷台の鉄骨の上から地面に降りようとしたところ、姿勢を崩したため約２メートル下の地面に墜落したのち、積荷の鉄骨が落下した。被災者は、保護帽（飛来落下物用）と保護靴を着用。トラックの荷台に墜落防止設備、安全帯取付設備はなかった。 ,4,運輸交通業,403,道路貨物運送業,40301,一般貨物自動車運送業,墜落、転落
560,5,8～9,林道改良工事現場において、不整地運搬車を運転して残土運搬のため、作業道を積み込み場へ移動していた際、不整地運搬車を方向転換させるために路肩に寄せて走行していたところ、路肩から斜面を１７ｍ下の河川まで転落し、被災した。 ,3,建設業,301,土木工事業,30106,道路建設工事業,墜落、転落
561,5,8～9,石炭ベルトコンベヤーの上部に設置している磁選機（鉄片等をマグネットで取り除く機械）の異常エラーが発生したため、制御室担当者から磁選機担当であった被災者に連絡するも応答がなく、別の作業員へ連絡し、その者が磁選機へ確認に行ったところ、磁選機と石炭ベルトコンベヤーのチェーンカバーの間に挟まれている被災者を発見した。 ,1,製造業,110,鉄鋼業,11001,製鉄・製鋼・圧延業,はさまれ、巻き込まれ
562,5,14～15,採石場で、ドラグ・ショベルを用いて採石積込み作業中に、発破班から発破のため退避するよう合図があったため、作業を中断し、発破箇所から約５０ｍ離れた位置でドラグ・ショベルの運転席で待機していたところ、発破で飛んだ直径約１８ｃｍの石が運転席に飛来し、被災者の腹部に当たった。 ,2,鉱業,202,土石採取業,20201,採石業,飛来、落下
563,5,14～15,プラットホームの縁に立ち、後進してくるトラックを誘導していた被災者が、約１．２メートル下のコンクリート面に転落した。目撃者によれば、被災者の倒れていた姿勢から転落の際受け身を取るような動作はしておらず、頭から地面に転落した模様。 ,8,商業,802,小売業,80202,自動車小売業,墜落、転落
564,5,14～15,法面補修工事のため法面頂部への仮設通路を設置していたところ、上方から落石（重さ約３００ｋｇ）が発生し、仮設通路上で床材等を取り付けていた被災者に激突、もしくは、被災者がこの落石を避けようとして仮設通路から約３０ｍ下の沢に墜落した。なお、被災者は、安全帯を使用していなかった。また、落石が発生した付近で作業していた同僚作業者も斜面を滑落し、負傷した。 ,3,建設業,301,土木工事業,30199,その他の土木工事業,飛来、落下
565,5,10～11,食品加工用混合機の殺菌洗浄後の水滴拭き取り作業を行うため、混合用の羽根を可動させたまま上半身を混合機の窯（内径８０ｃｍ、深さ９０ｃｍ）の内部に入れたところ、回転する羽根と窯の内側の間に首を挟まれた。 ,1,製造業,101,食料品製造業,10109,その他の食料品製造業,はさまれ、巻き込まれ
566,5,10～11,自社敷地内において１６トン移動式クレーンを使用して１．６トンの敷鉄板の移動を行っていた。敷鉄板を片側が接地した状態で引き起こし、被災者が鉄板に付いた土を取り除こうと鉄板に接近した際、直接敷鉄板の穴の部分にかけていた玉掛け用フックが外れ鉄板が被災者側に倒れてきた。 ,8,商業,804,その他の商業,80409,その他の商業－その他,はさまれ、巻き込まれ
567,5,14～15,フォワーダを使用して土砂の運搬作業中、被災者がキャタピラ上に上がっていたところ、キャタピラが動き出し、運転席とキャタピラの隙間に巻き込まれ、死亡した。 ,3,建設業,301,土木工事業,30106,道路建設工事業,はさまれ、巻き込まれ
568,5,10～11,９段積みされた敷地境界ブロック塀を撤去するため、ブロック二段目で縦鉄筋をガス溶断するにあたり、被災者ともう一名にてチッパーを用いてブロック二段目と三段目の境目で、はつり作業し、縦鉄筋が見える状態とした後、ガス溶断をするにあたり問題ないかどうか目視確認していたところ、ブロック塀が傾き倒壊した。その際、被災者がブロック塀の下敷きとなり、頭部を強打したことにより死亡した。 ,3,建設業,303,その他の建設業,30309,その他の建設業－その他,崩壊、倒壊
569,5,4～5,帰宅途中、運転中に具合が悪くなり、道路の中央で意識がない状態で病院に運ばれ、心不全で死亡した。 ,5,貨物取扱業,501,陸上貨物取扱業,50101,陸上貨物取扱業,その他
570,5,18～19,被災者と取締役の２人は、修理を依頼されたトラックの荷台に設置されたグラップル操縦席横のアームを取外し、溶接補修を行った。溶接補修終了後、荷台に乗った取締役がアームを操縦席横に取付けようとしていたところ、手伝おうとした被災者が、トラック脇に設置されたうまを昇り荷台に移動しようと、操縦席に手をかけた際、操縦席が動き、被災者はうまの４段目（高さ１．７２ｍ）から墜落した。被災者は保護帽未着用であった。 ,1,製造業,112,金属製品製造業,11209,その他の金属製品製造業,墜落、転落
571,5,16～17,資材置き場において、被災者はごみ集積場所から手押し台車を押して倉庫に戻る途中であった。同時に同敷地内に事務所のある姉妹会社の社員が被災者の近くにあった３トントラックの運転席に乗り込み後進したところ、歩いていた被災者に気づかず巻き込んだ。 ,3,建設業,301,土木工事業,30106,道路建設工事業,交通事故（その他）
572,5,12～13,コイル（ロール状の鉄板）を切断加工するスリッターにおいて、被災者は、コイルを供給する装置であるアンコイラーへ重量１１．９２ｔのコイルをセットする際、コイルカー（アンコイラーへコイルをセットする装置）から転落した当該コイルに激突された。 ,1,製造業,110,鉄鋼業,11009,その他の鉄鋼業,飛来、落下
573,5,12～13,資材置き場において、被災者はトラックの右後輪に挟まれて死亡した。 ,3,建設業,301,土木工事業,30110,上下水道工事業,はさまれ、巻き込まれ
574,5,14～15,建設工事現場で作業を終え、労働者３名が社用車で事業場事務所に移動中、国道で被災者らが乗る社用車が反対車線にはみ出し、反対車線を走行中のダンプと衝突した。死亡した被災者は後部座席に乗車しており、シートベルトは装着していなかった。運転していた労働者は意識不明の重体、助手席に乗っていた労働者は打撲の軽傷で休業していない。 ,3,建設業,302,建築工事業,30201,鉄骨・鉄筋コンクリート造家屋建築工事業,交通事故（道路）
575,5,2～3,午前２時頃、被災者は、道路工事が終わりバイクで現場休憩所に向かっていた。被災者が帰ってこなかったため、現場休憩所で待っていた同僚が付近を探していたところ、６時３０分海中の被災者を発見した。現場休憩所には、決められた経路を通行するよう指示されていたが、被災者は、決められた経路以外をバイクで通行し、バイクごと海へ転落した。 ,17,その他の事業,1702,その他の事業,170201,警備業,交通事故（その他）
576,5,10～11,汎用旋盤を用いて合金の円盤の切削加工を行っていた際に、回転していたチャックに取り付けられた加工物を保持するための金属製の爪に頭部が接触し、死亡した。発見時、加工物は取り外されており、加工物がない状態でチャックが回転していた。 ,1,製造業,115,輸送用機械等製造業,11509,その他の輸送用機械等製造業,激突
577,5,10～11,過重労働による心疾患。被災者は取引先へ社有車で向かう途中であったところ、スーパーマーケット駐車場にて死亡しているところを発見され、虚血性心疾患の疑いと診断された。発症前２ないし６か月間にわたって概ね８０時間を超える時間外労働を行っていた。 ,8,商業,802,小売業,80209,その他の小売業,その他
578,5,14～15,玉切りした木材を単独でフォワーダに積み込む作業中、積み込んだ木材の上又はフォワーダの荷台から墜落した（目撃者がおらず、フォワーダの脇で倒れているところを第三者に発見されたため、推測である）。 ,4,運輸交通業,403,道路貨物運送業,40301,一般貨物自動車運送業,墜落、転落
579,5,12～13,工場内第３製缶工場において、被災者が電源盤の増設工事を行っていた際、電源線を建屋高さ約３．３ｍに這わそうとして、建屋の梁に登り作業を行っていたところ、バランスを崩し約３．３ｍ下に墜落した。,1,製造業,115,輸送用機械等製造業,11502,自動車・同付属品製造業,墜落、転落
580,5,10～11,道路の改良工事において、工事の進捗状況を確認するために測量を行っていたところ、作業床から２２ｍ崖下に墜落し、死亡した。足場は組まれていたが、測量のため足場の外へ出て作業しており、安全帯は着用していたが、使用していなかった。 ,3,建設業,301,土木工事業,30105,橋梁建設工事業,墜落、転落
581,5,8～9,製品検査場にて、検査が終了した製品の入った金網製ボックスパレットをハンドリフトで後方へ引きながら運搬していたところ、金網製ボックスパレットを２段積んで前進中のフォークリフトに激突され、反動でフォークから落下した２段積みボックスパレットの下敷きとなった。,1,製造業,115,輸送用機械等製造業,11509,その他の輸送用機械等製造業,激突され
582,5,12～13,出張作業。主要取引先のイベントが終了し、後片付け後、被災者は貨物自動車の荷台のテールゲート端の支柱に腰掛けるように乗車していた。貨物自動車が左カーブに接した際、アスファルト舗装された外周道路に落下し頭部を打撲した。,8,商業,802,小売業,80209,その他の小売業,墜落、転落
583,5,12～13,事業場敷地内の駐車場において、被災者が当日の勤務を終え帰宅するため、自家用車の駐車場所に向かっていたところ、荷物搬入口に駐車しようとしていたトラックにはねられた。 ,8,商業,802,小売業,80209,その他の小売業,交通事故（道路）
584,5,8～9,資材置場の小屋の屋根の上で樹木の枝払い作業を行っていたところ、当該屋根から地上へと約３ｍ墜落した。 ,3,建設業,302,建築工事業,30209,その他の建築工事業,墜落、転落
585,5,16～17,積載型トラッククレーン（つり上げ荷重２．９３トン）で木材が入ったコンテナ（重量２．２トン）をつり上げ、移動させていたところ、当該クレーンが倒れ、操作していた被災者が下敷きになり、死亡した。 ,15,清掃・と畜業,1501,清掃・と畜業,150102,産業廃棄物処理業,崩壊、倒壊
586,5,10～11,下水道新設工事において、クレーン機能を備えたドラグショベルを用いてクレーン作業で下水管（ＨＰφ８００　重さ約１．２ｔ）をつり上げて、事前に掘削した底面（深さ約１．９ｍ）に設置する作業中、つり上げた下水管の一端が掘削側面に接触し動かなくなったため、被災者が掘削底面に下り、下水管に近づき素手で接触部分を外したところ、つり上げられていた下水管が振れ被災者の胸部に激突した。 ,3,建設業,301,土木工事業,30110,上下水道工事業,激突され
587,5,0～1,被災者は空港の道路維持工事現場にて作業車を路肩に停車させたところ、当該作業車に後方から軽トラックが衝突して炎上したため、被災者は軽トラックの運転者を救出しようとしたが出来ずに、運転者が焼死したことを原因として急性ストレス障害を発症し、その後山林において縊頸状態で発見された。,3,建設業,301,土木工事業,30106,道路建設工事業,その他
588,5,12～13,被災者は自社で修理を行う発電機を、受注先で中型貨物自動車に積み込み帰社途中に、渋滞最後尾のダンプカーに衝突し「多発損傷」により死亡した。 ,1,製造業,117,その他の製造業,11709,その他の製造業－その他,交通事故（道路）
